0.277895,	0.252152,	0.597952
0.331042,	0.224081,	0.623282
0.362354,	0.249353,	0.678573
0.35846,	0.233063,	0.649169
0.365012,	0.259651,	0.69064
0.364948,	0.242211,	0.658037
0.354201,	0.240035,	0.64648
0.356052,	0.226889,	0.640348
0.367855,	0.259238,	0.677765
0.364353,	0.240418,	0.639587
0.368303,	0.266272,	0.686135
0.359669,	0.218187,	0.641781
0.365269,	0.248292,	0.671304
0.335975,	0.232768,	0.610278
0.357452,	0.263698,	0.663081
0.369281,	0.242682,	0.658304
0.36206,	0.239994,	0.667808
0.36333,	0.225604,	0.655753
0.358191,	0.254093,	0.652281
0.323304,	0.240754,	0.599402
0.359008,	0.265152,	0.670446
0.352305,	0.219134,	0.637175
0.355024,	0.247938,	0.671056
0.351319,	0.236154,	0.638569
0.357002,	0.260513,	0.680358
0.356519,	0.233754,	0.63034
0.357557,	0.2457,	0.669552
0.35876,	0.231309,	0.657446
0.368052,	0.255684,	0.677105
0.360864,	0.241003,	0.645875
0.345091,	0.262131,	0.665831
0.365139,	0.245998,	0.657476
0.368132,	0.259791,	0.695923
0.368948,	0.246581,	0.679397
0.36914,	0.265349,	0.702704
0.370209,	0.246131,	0.685042
0.368109,	0.245741,	0.682501
0.367362,	0.248418,	0.685041
0.363814,	0.251272,	0.658986
0.36899,	0.246874,	0.664951
0.360418,	0.250381,	0.658009
0.368027,	0.253854,	0.69116
0.368351,	0.248136,	0.664604
0.371975,	0.247167,	0.668028
0.37072,	0.250735,	0.67
0.371335,	0.246075,	0.686341
0.330647,	0.263465,	0.662776
0.35991,	0.241573,	0.669889
0.367949,	0.26284,	0.699351
0.366308,	0.238929,	0.674727
0.370337,	0.246987,	0.67438
0.293885,	0.249538,	0.604052
0.349333,	0.243094,	0.653199
0.294259,	0.253983,	0.615896
0.370981,	0.25232,	0.692512
0.366298,	0.24351,	0.671669
0.368138,	0.242175,	0.670483
0.368394,	0.242888,	0.674071
0.36731,	0.262836,	0.696843
0.36663,	0.2462,	0.681545
0.369674,	0.266698,	0.70037
0.371946,	0.242691,	0.682986
0.359808,	0.252174,	0.679552
0.358374,	0.235581,	0.661806
0.360086,	0.256761,	0.685234
0.367387,	0.23673,	0.672283
0.364271,	0.252251,	0.683969
0.36411,	0.229066,	0.660389
0.364542,	0.250883,	0.682696
0.365801,	0.234793,	0.668045
0.368067,	0.259974,	0.695864
0.359317,	0.238046,	0.652945
0.331984,	0.243723,	0.619968
0.366714,	0.251143,	0.650276
0.369962,	0.253296,	0.666986
0.371389,	0.26202,	0.674378
0.367638,	0.255653,	0.666848
0.364244,	0.261531,	0.665375
0.368571,	0.25207,	0.689784
0.363579,	0.258485,	0.692237
0.372024,	0.262313,	0.704391
